,,,,,,,,,
PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Isaiah Thomas,PG,6.70%,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75''
Trey Thompkins,PF,15.50%,9.25,9.75,6' 8.5'',6' 9.75'',8' 11.5'',239,7' 1''
Tristan Thompson,PF,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25''
Klay Thompson,SG,8.00%,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9''
Jeremy Tyler,PF-C,13.40%,9.25,9,6' 9'',6' 10.5'',9' 2.5'',262.4,7' 5''
Nikola Vucevic,PF-C,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5''
Kemba Walker,PG,5.90%,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5''
Jordan Williams,PF,12.10%,9.25,10,6' 7.75'',6' 9'',8' 10.5'',247.2,7' 0.25''
Derrick Williams,PF-SF,10.80%,9,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5''
Solomon Alabi,C,5.00%,9.25,9.25,6' 11.5'',7' 0.75'',9' 5'',237.4,7' 5''
Cole Aldrich,C,8.50%,9,9.25,6' 9'',6' 11.25'',9' 3.5'',236,7' 4.75''
Al-Farouq Aminu,SF,8.20%,9.5,9.5,6' 7.25'',6' 8.5'',9' 0.5'',216,7' 3.25''
James Anderson,SF,7.90%,8.5,7.25,6' 4.75'',6' 5.75'',8' 8'',207.6,6' 8.5''
Luke Babbitt,SF-PF,5.60%,8.5,10,6' 7.5'',6' 8.75'',8' 8.5'',217.8,6' 11.25''
Eric Bledsoe,PG,5.60%,8.5,9.75,6' 0.25'',6' 1.5'',8' 2'',191.6,6' 7.5''
Trevor Booker,PF,7.30%,9,9.5,6' 6.25'',6' 7.5'',8' 10'',235.8,6' 9.75''
Craig Brackins,PF-SF,7.90%,9.5,11.25,6' 8.5'',6' 9.75'',9' 1'',229,7' 0''
Avery Bradley,SG-PG,4.00%,8.25,9.5,6' 2'',6' 3.25'',8' 2.5'',180.4,6' 7.25''
Derrick Caracter,PF,12.80%,9,10.25,6' 8.25'',6' 9.5'',8' 11.5'',280,7' 0.25''
Sherron Collins,PG,9.20%,8.5,9.5,5' 10.25'',5' 11.75'',7' 10'',217.2,6' 2.5''
DeMarcus Cousins,C,16.40%,9.25,10,6' 9.5'',6' 10.75'',9' 5'',291.8,7' 5.75''
Jordan Crawford,SG,4.90%,8,9,6' 3'',6' 4.5'',8' 5'',198.4,6' 7''
Ed Davis,PF,10.00%,9.25,10,6' 9'',6' 9.75'',9' 0'',226.6,7' 0''
Devin Ebanks,SF,7.90%,8.25,9,6' 7'',6' 8.25'',8' 11.5'',207.8,7' 0.25''
Derrick Favors,PF,6.50%,8.75,9.25,6' 8.75'',6' 10.25'',9' 2'',245.2,7' 4''
Keith Gallon,PF-C,15.10%,9.25,10.5,6' 8.5'',6' 9.5'',9' 1.5'',301.8,7' 4.5''
Charles Garcia,SF,7.00%,8.75,9,6' 8.25'',6' 9.25'',8' 11.5'',231.6,7' 1.75''
Paul George,SF,5.00%,8.5,9,6' 7.75'',6' 8.75'',8' 11'',214.4,6' 11.25''
Luke Harangody,PF,11.10%,8.75,9.75,6' 6'',6' 7.75'',8' 10'',240.2,6' 9.5''
Manny Harris,SG,3.80%,8.5,9,6' 4'',6' 5.5'',8' 6'',185.1,6' 7.25''
Lazar Hayward,SG-SF,7.50%,9.25,9.5,6' 4.5'',6' 5.75'',8' 6'',225.8,7' 0.75''
Gordon Hayward,SF,6.90%,8.5,9.25,6' 6.75'',6' 8'',8' 7'',211,6' 7.75''
Xavier Henry,SG,4.70%,8.75,10,6' 5.25'',6' 6.5'',8' 9'',210.2,6' 11.25''
Darington Hobson,SG-SF,6.20%,8.25,9,6' 5.25'',6' 6.5'',8' 8.5'',203.6,6' 9.25''
Damion James,SF,9.60%,9.25,8.5,6' 6.25'',6' 7.75'',8' 11'',226.6,7' 0.75''
Wesley Johnson,SF,4.60%,9,9.5,6' 6.25'',6' 7.25'',8' 10'',206.4,7' 1''
Armon Johnson,PG-SG,5.60%,8.25,9.25,6' 2'',6' 3.25'',8' 3.5'',195.2,6' 8''
Dominique Jones,SG,5.90%,9,10.25,6' 3.25'',6' 5'',8' 5'',216,6' 9.25''
Jerome Jordan,C,6.90%,9,10.25,6' 11.5'',7' 0.75'',9' 5'',244.2,7' 5.25''
Sylven Landesberg,SG,11.60%,8.75,10.75,6' 4.75'',6' 6.25'',8' 4.5'',210,6' 9''
Gani Lawal,PF,6.30%,8.5,10,6' 7.5'',6' 9'',8' 11.5'',233.4,7' 0''
Greg Monroe,PF-C,11.20%,8.75,9.5,6' 9.75'',6' 11'',9' 0.5'',246.6,7' 2.25''
Daniel Orton,C,13.80%,8.5,9.75,6' 8.75'',6' 9.5'',9' 2.5'',269.2,7' 4.25''
Artsiom Parakhouski,C,6.00%,9,10.5,6' 10.25'',6' 11.75'',9' 1.5'',268.2,7' 1''
Patrick Patterson,PF,5.30%,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25''
Dexter Pittman,PF-C,20.80%,10.25,10.5,6' 9.5'',6' 11.5'',9' 3'',302.6,7' 6''
Andy Rautins,SG,6.20%,8,9.75,6' 4.25'',6' 5'',8' 4'',191.6,6' 7''
Ryan Richards,PF,8.00%,9,9.75,6' 10.5'',6' 11.75'',9' 2'',230.2,7' 1.5''
Stanley Robinson,SF,8.30%,9,9,6' 6.5'',6' 7.75'',8' 11.5'',213.2,7' 0''
Larry Sanders,PF-C,4.60%,9.75,11,6' 9.25'',6' 10.5'',9' 4'',222.4,7' 5.75''
Jon Scheyer,PG-SG,5.40%,7.75,9.5,6' 4.75'',6' 6'',8' 3'',180,6' 3.25''
Lance Stephenson,SG,9.30%,9,10.25,6' 4.5'',6' 5.75'',8' 7'',227,6' 10.5''
Mikhail Torrance,PG,7.00%,8.75,9.5,6' 4'',6' 5'',8' 7'',208.8,6' 7.5''
Evan Turner,SG,8.60%,8.75,9.5,6' 5.75'',6' 7'',8' 7.5'',213.8,6' 8''
Ekpe Udoh,PF,8.00%,9.5,8.75,6' 8.75'',6' 9.75'',8' 10.5'',237.4,7' 4.5''
Jarvis Varnado,PF-C,9.50%,9.25,9.5,6' 8.25'',6' 10'',9' 1.5'',210.2,7' 3.5''
Greivis Vasquez,PG-SG,8.60%,7.75,9.25,6' 5'',6' 6.5'',8' 5'',210.8,6' 7''
John Wall,PG,5.60%,8.25,9.5,6' 2.75'',6' 4'',8' 5.5'',195.6,6' 9.25''
Willie Warren,SG-PG,7.60%,8.5,9.5,6' 2.5'',6' 3.75'',8' 3.5'',208.4,6' 6''
Terrico White,SG-PG,3.70%,9,10.5,6' 3.75'',6' 5'',8' 5'',202.6,6' 9''
Hassan Whiteside,C-PF,5.50%,8.25,10.25,6' 10.5'',6' 11.5'',9' 5'',226.6,7' 7''
Jeff Adrien,PF,7.90%,-,-,6' 5.25'',6' 6.5'',8' 11.5'',236.2,7' 2''
Jeff Ayres,PF,5.50%,-,-,6' 8.75'',6' 10'',8' 11'',239.6,7' 1''
Rodrigue Beaubois,PG,7.90%,-,-,6' 1.25'',6' 2.25'',8' 4'',182.4,6' 9.75''
DeJuan Blair,PF,12.00%,-,-,6' 5.25'',6' 6.5'',8' 10.5'',276.6,7' 2''
Derrick Brown,SF-PF,8.60%,-,-,6' 7.5'',6' 8.5'',8' 11.5'',224.6,7' 2.5''
Chase Budinger,SF-SG,10.00%,-,-,6' 6.25'',6' 7'',8' 5'',206.4,6' 7''
DeMarre Carroll,PF-SF,6.30%,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10''
Omri Casspi,SF,8.60%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',211.2,6' 9.25''
Dionte Christmas,SG,7.10%,-,-,6' 4.25'',6' 5.5'',8' 6.5'',210.8,6' 9''
Earl Clark,SF-PF,5.20%,-,-,6' 8.5'',6' 10.25'',9' 1.5'',228.4,7' 2.5''
Darren Collison,PG,5.70%,-,-,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3''
Dante Cunningham,PF,4.80%,-,-,6' 7'',6' 8.25'',8' 10.5'',227.4,6' 11''
Stephen Curry,PG-SG,5.70%,-,-,6' 2'',6' 3.25'',8' 1'',181,6' 3.5''
Austin Daye,SF-PF,5.50%,-,-,6' 9.75'',6' 10.75'',9' 2'',191.8,7' 2.75''
DeMar DeRozan,SG-SF,4.90%,-,-,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9''
Toney Douglas,PG,5.20%,-,-,6' 1'',6' 2'',8' 1.5'',183.4,6' 6''
Wayne Ellington,SG,5.50%,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5''
Tyreke Evans,PG-SG,7.10%,-,-,6' 4'',6' 5.25'',8' 8'',220.6,6' 11.25''
Jonny Flynn,PG,6.30%,-,-,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4''
Taj Gibson,PF,6.60%,-,-,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4''
Danny Green,SG-SF,5.60%,-,-,6' 5.25'',6' 6.5'',8' 7'',208,6' 10''
Blake Griffin,PF,8.20%,-,-,6' 8.5'',6' 10'',8' 9'',248.4,6' 11.25''
Tyler Hansbrough,PF,8.50%,-,-,6' 8.25'',6' 9.5'',8' 10'',234.2,6' 11.5''
James Harden,SG,10.10%,-,-,6' 4'',6' 5.25'',8' 7.5'',222,6' 10.75''
Gerald Henderson,SG-SF,4.40%,-,-,6' 4'',6' 5'',8' 6.5'',214.6,6' 10.25''
Josh Heytvelt,PF-C,10.80%,-,-,6' 10'',6' 11'',9' 0'',246.2,7' 1.25''
Jordan Hill,PF-C,6.00%,-,-,6' 9.25'',6' 10.25'',9' 0'',232.4,7' 1.5''
Jrue Holiday,PG-SG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7''
Joe Ingles,SF,10.10%,-,-,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25''
James Johnson,SF-PF,12.00%,-,-,6' 7'',6' 7.75'',8' 9.5'',257.2,7' 0.75''
Ty Lawson,PG,6.60%,-,-,5' 11.25'',6' 0.5'',7' 10.5'',196.6,6' 0.75''
Eric Maynor,PG,5.40%,-,-,6' 2.25'',6' 3.25'',8' 1'',163.6,6' 2.5''
Jack McClinton,SG-PG,6.20%,-,-,5' 11.75'',6' 0.75'',8' 0'',185.2,6' 2.5''
Jerel McNeal,SG,5.40%,-,-,6' 1.5'',6' 3'',8' 3.5'',190.4,6' 7.25''
Jodie Meeks,SG,8.00%,-,-,6' 3'',6' 4'',8' 2'',211.4,6' 4.5''
Patty Mills,PG,6.90%,-,-,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2''
Byron Mullens,C,8.50%,-,-,6' 11.75'',7' 1.25'',9' 3'',258.2,7' 1.5''
A.J. Price,PG,12.40%,-,-,6' 0.5'',6' 2'',8' 1'',192.8,6' 3.75''
Tyler Smith,SF,7.00%,-,-,6' 5.25'',6' 6'',8' 8.5'',212,6' 9.75''
DaJuan Summers,SF,6.60%,-,-,6' 7.25'',6' 8.5'',8' 10.5'',243,7' 0.75''
Jermaine Taylor,SG,5.80%,-,-,6' 3.5'',6' 4.75'',8' 5'',207.4,6' 8.75''
Jeff Teague,PG,4.50%,-,-,6' 0.25'',6' 1.5'',8' 2.5'',175.2,6' 7.5''
Hasheem Thabeet,C,6.70%,-,-,7' 1.25'',7' 2.5'',9' 5'',267.2,7' 6.25''
Marcus Thornton,SG,4.80%,-,-,6' 2.75'',6' 3.75'',8' 3'',194.4,6' 5''
Terrence Williams,SG-SF,5.10%,-,-,6' 5'',6' 6.25'',8' 7.5'',213.2,6' 9''
Sam Young,SF-SG,4.90%,-,-,6' 5.25'',6' 6.75'',8' 9.5'',222.8,6' 10.75''
Joe Alexander,SF-PF,5.80%,-,-,6' 7.25'',6' 8.25'',8' 10'',220,6' 11.5''
Darrell Arthur,PF,7.30%,-,-,6' 7.5'',6' 8.5'',8' 11'',216,6' 10.75''
D.J. Augustin,PG,8.10%,-,-,5' 10'',5' 11.5'',7' 10.5'',171.5,6' 3.5''
Jerryd Bayless,PG-SG,4.70%,-,-,6' 1.75'',6' 3'',8' 1'',204,6' 3.5''
Michael Beasley,PF-SF,7.70%,-,-,6' 7'',6' 8.25'',8' 11'',239,7' 0.25''
Ramel Bradley,PG-SG,5.70%,-,-,6' 1.25'',6' 2.25'',8' 2'',184,6' 5''
Tyrone Brazelton,PG,8.10%,-,-,5' 10'',5' 11'',7' 10'',166,6' 1.75''
Takais Brown,PF,9.20%,-,-,6' 7.25'',6' 8.5'',8' 10'',252,6' 10''
Keith Brumbaugh,SF-PF,4.00%,-,-,6' 7.5'',6' 8.75'',8' 8.5'',190,6' 7.25''
Stanley Burrell,PG,5.60%,-,-,6' 1.5'',6' 2.5'',8' 1.5'',201,6' 6.25''
Brian Butch,C-PF,10.80%,-,-,6' 9.5'',6' 11'',9' 0'',229.6,6' 11.25''
Jamar Butler,PG,6.00%,-,-,6' 0.25'',6' 1.5'',8' 1'',182,6' 4.75''
Pat Calathes,SF-PF,7.30%,-,-,6' 8.75'',6' 9.75'',8' 10'',204,6' 9.75''
Joe Crawford,SG,7.60%,-,-,6' 3'',6' 4'',8' 3.5'',213,6' 5.75''
Chris Daniels,C-PF,16.10%,-,-,6' 8.25'',6' 9.5'',9' 1'',256,7' 0.5''
Joey Dorsey,PF-C,9.00%,-,-,6' 6.25'',6' 7.25'',8' 11'',265,7' 1.75''
Marcus Dove,SF-PF,5.30%,-,-,6' 6.75'',6' 7.5'',8' 9'',208,6' 11.5''
Josh Duncan,PF,5.40%,-,-,6' 8'',6' 9'',8' 8.5'',230,6' 11.5''
Frank Elegar,PF,4.50%,-,-,6' 7.25'',6' 8.75'',8' 10'',210,7' 3.25''
Patrick Ewing Jr.,SF-PF,9.40%,-,-,6' 6'',6' 7.25'',8' 1.5'',224,7' 0.25''
Gary Forbes,SG,6.50%,-,-,6' 4.5'',6' 5.75'',8' 8.5'',220.5,6' 11.25''
Shan Foster,SG,6.30%,-,-,6' 4'',6' 5.25'',8' 7.5'',194.5,6' 11.5''
J.R. Giddens,SG,5.40%,-,-,6' 4'',6' 4.75'',8' 7'',208,6' 11.25''
James Gist,PF,4.80%,-,-,6' 7'',6' 8.5'',8' 11.5'',220,7' 4''
Vladimir Golubovic,C,6.90%,-,-,6' 11.25'',7' 0.25'',9' 3.5'',258,7' 2.5''
Eric Gordon,SG,8.20%,-,-,6' 2'',6' 3.25'',8' 3'',222,6' 9''
Kentrell Gransberry,C,17.40%,-,-,6' 6.75'',6' 7.75'',8' 10'',290,6' 10.25''
Donte Greene,SF-PF,7.60%,-,-,6' 8.25'',6' 9'',9' 0'',221,6' 10''
Malik Hairston,SG,6.90%,-,-,6' 4.25'',6' 5.25'',8' 7.5'',204,6' 9''
DeVon Hardin,C-PF,5.80%,-,-,6' 9.5'',6' 10.75'',9' 1.5'',235,7' 3''
Richard Hendrix,PF,9.20%,-,-,6' 6.75'',6' 8.75'',9' 0'',250,7' 3''
George Hill,PG,3.00%,-,-,6' 1.25'',6' 2.5'',8' 1.5'',181,6' 9''
Kyle Hines,SF-PF,3.60%,-,-,6' 3.75'',6' 5.25'',8' 8.5'',234,7' 1.25''
Jiri Hubalek,C-PF,8.80%,-,-,6' 9.5'',6' 11'',9' 1'',226,6' 10.75''
Lester Hudson,PG,3.40%,-,-,5' 11.75'',6' 1'',8' 2.5'',196,6' 8.75''
Othello Hunter,PF-SF,6.40%,-,-,6' 6.5'',6' 7.5'',9' 1.5'',220,7' 3''
Darnell Jackson,PF,12.50%,-,-,6' 7'',6' 7.75'',8' 10.5'',240.5,6' 11.25''
Shawn James,PF,9.20%,-,-,6' 7.75'',6' 9'',9' 3'',217,7' 5''
Davon Jefferson,SF,12.00%,-,-,6' 5.25'',6' 6.5'',8' 9'',213,6' 9.5''
Joseph Jones,PF,12.20%,-,-,6' 7'',6' 8.5'',8' 11'',240,7' 0.25''
DeAndre Jordan,C,7.50%,-,-,6' 9.75'',6' 11'',9' 5.5'',250,7' 6''
Sasha Kaun,C-PF,9.60%,-,-,6' 9'',6' 10.75'',9' 2'',247,7' 4''
Marcelus Kemp,SG,9.00%,-,-,6' 3'',6' 4.25'',8' 7.5'',221,6' 8.5''
Maarty Leunen,SF,8.90%,-,-,6' 7.25'',6' 8.5'',8' 6.5'',222,6' 8''
Longar Longar,C,10.60%,-,-,6' 9'',6' 10'',9' 1.5'',212.5,7' 1.25''
Brook Lopez,C,6.30%,-,-,6' 11.25'',7' 0.5'',9' 5'',258,7' 5.5''
Kevin Love,PF,12.90%,-,-,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25''
Aleks Maric,C,10.10%,-,-,6' 9.75'',6' 10.75'',9' 1.5'',273,7' 1''
O.J. Mayo,SG-PG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 3.5'',200,6' 6''
James Mays,PF,8.80%,-,-,6' 6.75'',6' 7.75'',8' 9'',227,7' 1.75''
Luc Mbah a Moute,SF,7.00%,-,-,6' 5.75'',6' 7.5'',8' 7.5'',221,7' 2.5''
JaVale McGee,C-PF,5.30%,-,-,6' 11'',7' 0'',9' 6.5'',241,7' 6''
Drew Neitzel,PG,6.20%,-,-,5' 11.75'',6' 0.75'',7' 11'',175.5,6' 2.5''
DeMarcus Nelson,PG-SG,4.50%,-,-,6' 1'',6' 2.25'',8' 2.5'',198,6' 10''
David Padgett,C-PF,9.00%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',239.5,7' 1''
Jeremy Pargo,PG,7.60%,-,-,6' 0.5'',6' 1.5'',8' 0'',208,6' 5''
Trent Plaisted,PF,11.00%,-,-,6' 9.25'',6' 10.25'',8' 9.5'',240,6' 10.5''
Quan Prowell,SF-PF,6.50%,-,-,6' 6.75'',6' 7.75'',8' 7.5'',225.5,6' 10.5''
Shaun Pruitt,C-PF,13.80%,-,-,6' 8.25'',6' 9'',8' 11.5'',242.2,7' 1''
Anthony Randolph,PF-SF,4.70%,-,-,6' 9'',6' 10.25'',9' 1'',197,7' 3''
Charles Rhodes,PF,10.70%,-,-,6' 7.25'',6' 8.25'',8' 11.5'',244,6' 11.25''
John Riek,C,11.00%,-,-,6' 10.5'',7' 0'',,237,7' 8.75''
Brian Roberts,PG,3.60%,-,-,6' 0.25'',6' 1.25'',7' 11'',173,6' 1.25''
Russell Robinson,PG,7.40%,-,-,6' 0.5'',6' 1.5'',8' 4.5'',196,6' 8''
Richard Roby,SG-SF,9.20%,-,-,6' 4.25'',6' 5.5'',8' 8'',203,6' 9.75''
Derrick Rose,PG,4.60%,-,-,6' 1.5'',6' 2.5'',8' 2.5'',196,6' 8''
Sean Singletary,PG,4.20%,-,-,5' 11'',6' 0'',7' 11'',183.8,6' 4.5''
Ronald Steele,PG,8.10%,-,-,6' 0.25'',6' 1.5'',8' 1.5'',183.5,6' 4.25''
Mike Taylor,SG-PG,3.80%,-,-,6' 0.75'',6' 2'',8' 2'',166.2,6' 7.25''
Bryce Taylor,SG,8.30%,-,-,6' 2.75'',6' 4.25'',8' 3.5'',210,6' 9''
Mark Tyndale,SG-SF,6.70%,-,-,6' 2.75'',6' 3.5'',8' 7.5'',217,6' 11''
Robert Vaden,SG,6.20%,-,-,6' 3.5'',6' 4.5'',8' 5'',199,6' 8''
Deron Washington,SF,7.20%,-,-,6' 5.25'',6' 6.25'',8' 6.5'',198.5,6' 9''
Sonny Weems,SG-SF,4.40%,-,-,6' 4'',6' 5.5'',8' 8'',193,6' 10''
Russell Westbrook,PG,4.80%,-,-,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75''
Reggie Williams,SG,5.30%,-,-,6' 3.25'',6' 4'',8' 7'',199,6' 9.25''
Mohamed Abukar,SF,8.90%,-,-,6' 8'',6' 9.75'',8' 7'',210,6' 9''
Mario Boggan,PF,9.20%,-,-,6' 5'',6' 7'',8' 11'',240,7' 2''
Craig Bradshaw,PF,12.10%,-,-,6' 8'',6' 9.75'',8' 10.5'',240,7' 1.5''
Corey Brewer,SF-SG,4.20%,-,-,6' 6'',6' 7.75'',8' 7'',185,6' 8.25''
Aaron Brooks,PG,2.70%,-,-,5' 10'',5' 11.75'',7' 10'',161,6' 4''
Bobby Brown,PG,6.60%,-,-,5' 11'',6' 1.75'',7' 11.5'',170,6' 4''
Russell Carter,SG,6.00%,-,-,6' 3'',6' 4.5'',8' 1.5'',221,6' 8.5''
Coleman Collins,PF,6.20%,-,-,6' 8'',6' 9.75'',8' 11'',236,7' 2''
Mike Conley,PG,4.20%,-,-,5' 11'',6' 0.75'',7' 10.5'',175,6' 5.75''
Daequan Cook,SG,7.00%,-,-,6' 3'',6' 5.75'',8' 5.5'',203,6' 8.25''
Ryvon Covile,C-PF,8.00%,-,-,6' 7'',6' 8.5'',8' 11.5'',250,7' 1.25''
Javaris Crittenton,PG,4.50%,-,-,6' 3'',6' 4.75'',8' 2'',194,6' 5.5''
Jermareo Davidson,PF,6.90%,-,-,6' 9'',6' 11'',9' 1.5'',230,7' 4''
Justin Doellman,PF,7.00%,-,-,6' 8'',6' 9.5'',8' 9'',205,6' 8.75''
Zabian Dowdell,PG,5.10%,-,-,6' 1'',6' 3'',8' 4'',191,6' 10''
Jared Dudley,SF,7.10%,-,-,6' 5'',6' 7.25'',8' 6'',219,6' 7''
Kevin Durant,SF-PF,6.60%,-,-,6' 9'',6' 10.25'',9' 2'',215,7' 4.75''
Rashaun Freeman,PF,11.50%,-,-,6' 6'',6' 8'',8' 8'',244,6' 11.5''
Aaron Gray,C,10.80%,-,-,7' 0'',7' 1.75'',9' 0.5'',271,7' 3.25''
Caleb Green,PF,10.90%,-,-,6' 6'',6' 8'',8' 7'',238,6' 11.75''
Jeff Green,SF,3.70%,-,-,6' 7'',6' 9.5'',8' 7'',228,7' 1.25''
Taurean Green,PG,4.60%,-,-,5' 11'',6' 0.75'',8' 0'',173,6' 2.25''
Spencer Hawes,PF,13.00%,-,-,6' 10'',7' 0.75'',9' 2'',244,7' 0.5''
Brandon Heath,PG,9.00%,-,-,6' 2'',6' 3.75'',7' 10'',181,6' 7''
Herbert Hill,C,5.60%,-,-,6' 7'',6' 9.75'',9' 0.5'',232,7' 2.25''
Al Horford,PF,9.10%,-,-,6' 8'',6' 9.75'',8' 11'',246,7' 0.75''
Quinton Hosley,SF-SG,5.70%,-,-,6' 5'',6' 7.75'',8' 9'',215,6' 11.25''
James Hughes,C,3.50%,-,-,6' 9'',6' 10.75'',9' 3'',209,7' 3''
Jeremy Hunt,SG,5.20%,-,-,6' 2'',6' 4.75'',8' 5.5'',198,6' 8.25''
Ekene Ibekwe,PF,3.20%,-,-,6' 8'',6' 9'',8' 8'',208,7' 6''
Dominic James,PG,4.80%,-,-,5' 10'',5' 11.75'',7' 9'',175,6' 2''
Trey Johnson,SG,5.40%,-,-,6' 3'',6' 5.75'',8' 2'',216,6' 5''
Rashad Jones-Jennings,PF,5.90%,-,-,6' 6'',6' 7.5'',8' 9.5'',235,7' 0''
Jared Jordan,PG,7.00%,-,-,6' 0'',6' 1.75'',7' 10'',183,6' 0''
Coby Karl,SG-PG,5.40%,-,-,6' 3'',6' 4.75'',8' 3.5'',204,6' 11''
Antanas Kavaliauskas,PF,7.70%,-,-,6' 9'',6' 10.5'',8' 10.5'',237,6' 10.5''
Carl Landry,PF,7.50%,-,-,6' 7'',6' 8.5'',8' 6.5'',248,6' 11''
Stephane Lasme,PF,4.90%,-,-,6' 5'',6' 7'',8' 11'',213,7' 2''
Acie Law,PG,5.60%,-,-,6' 2'',6' 3.5'',8' 2'',186,6' 6.5''
Marko Lekic,C,11.40%,-,-,6' 9'',6' 10.5'',9' 0.5'',267,7' 1''
Ron Lewis,SG,4.50%,-,-,6' 2'',6' 4.5'',8' 3'',194,6' 6.5''
Cartier Martin,SF,5.60%,-,-,6' 4'',6' 6.5'',8' 7.5'',218,6' 10''
Dominic McGuire,SF,4.70%,-,-,6' 7'',6' 8.25'',8' 8'',220,6' 10.5''
Josh McRoberts,PF,13.70%,-,-,6' 8'',6' 10'',8' 10.5'',240,7' 1''
Sammy Mejia,SG,8.30%,-,-,6' 5'',6' 7'',8' 9'',218,6' 11''
Brad Newley,SG,8.00%,-,-,6' 5'',6' 6.5'',8' 6.5'',201,6' 8''
Demetris Nichols,SF,6.20%,-,-,6' 6'',6' 7.5'',8' 9'',211,7' 0.25''
Joakim Noah,PF,4.80%,-,-,6' 10'',7' 0'',8' 10.5'',223,7' 1.25''
Greg Oden,C,7.80%,-,-,6' 11'',7' 0'',9' 4'',257,7' 4.25''
Ivan Radenovic,PF,9.80%,-,-,6' 9'',6' 10.75'',8' 10'',226,6' 11.75''
JR Reynolds,PG,8.20%,-,-,6' 0'',6' 2.75'',7' 11'',188,6' 3.25''
Chris Richard,PF,7.50%,-,-,6' 7'',6' 8.75'',9' 2.5'',252,7' 4.5''
Dustin Salisbery,SG,6.60%,-,-,6' 3'',6' 4.75'',8' 4.5'',208,6' 8''
Blake Schilb,SG,10.00%,-,-,6' 5'',6' 7'',8' 6.5'',214,6' 9''
Renaldas Seibutis,SG,6.10%,-,-,6' 4'',6' 5.75'',8' 5'',185,6' 8.75''
Ramon Sessions,PG,6.20%,-,-,6' 2'',6' 3.75'',8' 1.5'',185,6' 4.25''
Mustafa Shakur,PG,4.10%,-,-,6' 3'',6' 4.5'',8' 3'',185,6' 5.5''
Jason Smith,PF,7.50%,-,-,6' 10.75'',6' 11.5'',8' 10'',233,6' 10.75''
DJ Strawberry,SG,4.50%,-,-,6' 3.75'',6' 5'',8' 5'',199,6' 6.5''
Rodney Stuckey,SG-PG,6.10%,-,-,6' 3.75'',6' 4.5'',8' 4.5'',207,6' 7.25''
Curtis Sumpter,SF,5.30%,-,-,6' 6'',6' 7.75'',8' 8'',227,6' 9.5''
Yue Sun,SF,5.10%,-,-,6' 7.75'',6' 8.75'',8' 9'',212,6' 9''
Jamaal Tatum,PG,5.00%,-,-,5' 11.5'',6' 0.75'',7' 9.5'',168,6' 2.5''
Reyshawn Terry,SF,8.90%,-,-,6' 6.75'',6' 7.5'',8' 7.5'',222,6' 10''
Al Thornton,SF,5.80%,-,-,6' 5.75'',6' 7'',8' 8'',221,7' 1''
Anthony Tolliver,PF,5.70%,-,-,6' 7'',6' 8.5'',8' 11.5'',242,7' 2.5''
Ali Traore,C-PF,12.10%,-,-,6' 8.75'',6' 9.75'',9' 0.5'',249,7' 4''
Kyle Visser,C,10.20%,-,-,6' 10'',6' 11.5'',9' 0'',242,6' 11''
Darryl Watkins,C,6.90%,-,-,6' 8.75'',6' 10.25'',9' 2'',241,7' 3''
Major Wingate,C,6.70%,-,-,6' 8.5'',6' 10.75'',9' 1'',242,7' 4''
DaShaun Wood,PG,5.40%,-,-,5' 10.75'',5' 11.5'',7' 8'',167,6' 0.75''
Julian Wright,SF-PF,6.10%,-,-,6' 6.5'',6' 8.5'',9' 0'',211,7' 2.25''
Brandan Wright,PF,5.80%,-,-,6' 8.75'',6' 10'',9' 0.5'',200,7' 3.75''
Avis Wyatt,PF,3.30%,-,-,6' 8.75'',6' 9.5'',8' 11'',212,7' 1''
Jianlian Yi,,-%,-,-,,,,-,
Nick Young,SG-SF,6.80%,-,-,6' 5'',6' 6.75'',8' 4.5'',206,7' 0''
Thaddeus Young,SF,4.90%,-,-,6' 5.75'',6' 7.5'',8' 10'',210,6' 11.5''
